street,hero_hand,spr,in_position,num_players,board_texture,action_history
preflop,Ad9h,10.0,0,12,empty,R
preflop,KcQs,10.0,0,13,empty,R
preflop,JdTd,10.0,0,12,empty,R
preflop,AdKs,10.0,0,12,empty,R
preflop,7d2h,10.0,0,12,empty,R
preflop,8d6d,10.0,0,13,empty,C
preflop,5s5d,10.0,0,13,empty,C
preflop,JdQh,10.0,0,13,empty,R
preflop,Th6h,10.0,0,13,empty,C
preflop,Kc5s,10.0,0,13,empty,C
preflop,Js2s,10.0,0,13,empty,C
preflop,Ah3h,10.0,0,13,empty,C
preflop,3sKs,10.0,0,13,empty,C
preflop,AcTd,10.0,0,13,empty,R
preflop,7d7s,10.0,0,13,empty,R
preflop,ThAh,10.0,0,13,empty,R
preflop,6d6s,10.0,0,13,empty,R
preflop,Ah9h,10.0,0,13,empty,R
preflop,Qc9c,10.0,0,11,empty,C
preflop,9cJs,10.0,0,11,empty,C
preflop,KdJh,10.0,0,13,empty,C
preflop,AhKh,10.0,0,13,empty,R
preflop,4hTh,10.0,0,13,empty,R
preflop,8dKs,10.0,0,13,empty,C
preflop,4d5d,10.0,0,13,empty,C
preflop,Kd8d,10.0,0,13,empty,C
preflop,TsAs,10.0,0,13,empty,C
preflop,TdQh,10.0,0,11,empty,C
preflop,KcKd,10.0,0,12,empty,R
preflop,Js8c,10.0,0,12,empty,C
preflop,JdTh,10.0,0,13,empty,R
preflop,ThAc,10.0,0,12,empty,C
preflop,TsQs,10.0,0,12,empty,C
preflop,Kc3s,10.0,0,13,empty,C
preflop,QsQh,10.0,0,13,empty,R
preflop,AhTh,10.0,0,13,empty,R
preflop,Ac8c,10.0,0,13,empty,R
preflop,JdTd,10.0,0,13,empty,R
preflop,AhQc,10.0,0,13,empty,C
preflop,3s4d,10.0,0,13,empty,C
preflop,KdQc,10.0,0,13,empty,C
preflop,9hKd,10.0,0,13,empty,R
preflop,6d4d,10.0,0,13,empty,C
preflop,KdAd,10.0,0,13,empty,R
preflop,9c9d,10.0,0,13,empty,R
preflop,7hKs,10.0,0,12,empty,R
preflop,KsJc,10.0,0,13,empty,C
preflop,8dAd,10.0,0,13,empty,C
preflop,9hAh,10.0,0,13,empty,R
preflop,QsQc,10.0,0,11,empty,R
