street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,KhQc,10.0,0,9,rainbow,C
flop,7cKd,10.0,0,9,rainbow,C
flop,QdTh,10.0,0,9,rainbow,C
flop,8hAd,10.0,0,9,rainbow,
flop,QcTc,10.0,0,9,rainbow,C
flop,Tc9h,10.0,0,13,two-tone,
flop,8h8d,10.0,0,11,rainbow,C
flop,AdQc,10.0,0,11,rainbow,C
flop,Jh9d,10.0,0,13,rainbow,C
flop,KhJh,10.0,0,13,two-tone,R
flop,QhAs,10.0,0,13,two-tone,C
flop,3s7h,10.0,0,13,two-tone,
flop,KcTc,10.0,0,11,two-tone,
flop,Ad9h,10.0,0,12,rainbow,
flop,KcQs,10.0,0,13,monotone,C
flop,JdTd,10.0,0,12,two-tone,C
flop,AdKs,10.0,0,12,two-tone,
flop,7d2h,10.0,0,12,two-tone,
flop,8d6d,10.0,0,13,two-tone,C
flop,5s5d,10.0,0,13,rainbow,C
flop,JdQh,10.0,0,13,two-tone,C
flop,Th6h,10.0,0,13,rainbow,C
flop,Kc5s,10.0,0,13,two-tone,C
flop,Js2s,10.0,0,13,rainbow,C
flop,Ah3h,10.0,0,13,two-tone,C
flop,3sKs,10.0,0,13,monotone,C
flop,AcTd,10.0,0,13,two-tone,
flop,7d7s,10.0,0,13,rainbow,
flop,ThAh,10.0,0,13,two-tone,C
flop,6d6s,10.0,0,13,rainbow,C
flop,4dKh,10.0,0,13,two-tone,
flop,Ah9h,10.0,0,13,two-tone,
flop,Qc9c,10.0,0,11,rainbow,C
flop,9cJs,10.0,0,11,monotone,C
flop,Td8h,10.0,0,13,rainbow,
flop,KdJh,10.0,0,13,two-tone,C
flop,Ah6s,10.0,0,13,rainbow,
flop,AhKh,10.0,0,13,two-tone,
flop,4hTh,10.0,0,13,two-tone,R
flop,8dKs,10.0,0,13,two-tone,C
flop,4d5d,10.0,0,13,two-tone,C
flop,Kd8d,10.0,0,13,monotone,C
flop,TsAs,10.0,0,13,rainbow,C
flop,TdQh,10.0,0,11,two-tone,C
flop,KcKd,10.0,0,12,two-tone,
